Goal,X,Y,C,Distance,Angle
1,4,47,3.0,4.63060471212994,1.3148001881795657
1,18,50,0.0,18.9,0.3825663330715834
1,11,55,5.0,11.998541578041891,0.5746282275003937
1,3,49,1.0,3.2163644072150777,1.70233357190678
1,4,43,7.0,6.192132104533947,0.8891188201608187
1,5,62,12.0,9.40226036652889,0.4734809931229669
1,10,30,20.0,16.710774967068403,0.2814322230841747
1,8,54,4.0,8.793179174792243,0.7659735007631507
1,15,45,5.0,16.08182203607539,0.4394683699579318
1,15,40,10.0,17.038559211388737,0.39450787483769706
1,2,56,6.0,4.42944691807002,1.1860574693127683
1,10,60,10.0,12.349089035228468,0.504787111082435
1,11,62,12.0,13.93709080116794,0.43731158474742216
1,3,40,10.0,7.223053370978232,0.536463366670397
1,15,34,16.0,18.873857581321314,0.3244111338463663
1,6,39,11.0,9.529559276272959,0.5372398447113629
1,6,46,4.0,6.815423684555495,0.9489061410934956
1,14,43,7.0,15.388063555886426,0.4488778813145313
1,4,51,1.0,4.25,1.4201477008546248
1,24,43,7.0,25.607469613376484,0.27964677433052354
1,18,73,23.0,24.097977093523845,0.23919503855840518
1,9,40,10.0,11.469633821530659,0.5296462355461417
1,11,49,1.0,11.568275584545868,0.612092356355344
1,10,58,8.0,11.717081547894082,0.5552607966192705
1,3,56,6.0,5.013232490120521,1.0999616478160181
1,6,54,4.0,6.815423684555495,0.9489061410934956
1,8,60,10.0,10.621205204683694,0.5539129060969811
1,9,32,18.0,15.039697470361562,0.3142956852066102
1,6,41,9.0,8.59723792854426,0.651159162376933
1,9,34,16.0,14.052135069091813,0.35947975315199954
1,3,60,10.0,7.223053370978232,0.536463366670397
1,13,48,2.0,13.711765021323842,0.5197369931737656
1,17,52,2.0,17.897276329095444,0.4024840245835908
1,4,58,8.0,6.684309986827362,0.7766862454976036
1,4,43,7.0,6.192132104533947,0.8891188201608187
1,8,50,0.0,8.4,0.8218212603970589
1,9,54,4.0,9.80114789195633,0.6967688685774427
1,11,74,24.0,19.41037093926852,0.2286064737784988
1,14,48,2.0,14.757371039585607,0.48460536525591696
1,5,59,9.0,7.860343503944341,0.6711834202118175
1,11,49,1.0,11.568275584545868,0.612092356355344
1,22,65,15.0,25.07334241779504,0.2682012800212975
1,16,63,13.0,18.80538486710655,0.3468224014068655
1,9,63,13.0,12.676947582127173,0.43901933687539196
1,9,54,4.0,9.80114789195633,0.6967688685774427
1,13,54,4.0,13.895412912180769,0.5074894297819179
1,6,51,1.0,6.333442981506978,1.045705620550453
1,17,53,3.0,17.956196701974505,0.4000177485012383
1,3,44,6.0,5.013232490120521,1.0999616478160181
1,11,36,14.0,14.704166076320002,0.39495477964297176
1,8,44,6.0,9.26120942425988,0.7042514439477466
1,8,43,7.0,9.553140844769327,0.6684012104010006
1,9,32,18.0,15.039697470361562,0.3142956852066102
1,6,52,2.0,6.432728814430155,1.025372627090774
1,11,32,18.0,16.440574807469478,0.3179400488056638
1,24,68,18.0,27.783628272779637,0.2385540980304433
1,7,62,12.0,10.71739240673775,0.4875473980128381
1,19,32,18.0,23.127743080551546,0.2730351404249318
1,18,51,1.0,18.911173945580426,0.38214120816966374
1,13,54,4.0,13.895412912180769,0.5074894297819179
1,14,61,11.0,16.346635739503096,0.4009753589018125
1,4,45,5.0,5.310602602341847,1.1219612064374744
1,11,33,17.0,15.984523765192382,0.33596709169430355
1,56,40,10.0,59.15817779479013,0.12283786188354985
1,10,61,11.0,12.703247616259395,0.4790511315471671
1,17,40,10.0,18.996644440532123,0.35967403685627447
1,6,57,7.0,7.771261158911081,0.7759378875324093
1,8,33,17.0,13.880291783676595,0.3304224511340032
1,9,56,6.0,10.223135526833241,0.6493495750213615
1,13,33,17.0,17.562032911938186,0.32654703564538545
1,9,58,8.0,10.786218058244511,0.591643556025191
